NAME,dummy,STREET ADDRESS,BLDG/FLOOR/UNIT,CITY,STATE,ZIPCODE,PHONE,address,lat,long,url
``````,,333 WEST COLORADO AVE. ,,TELLURIDE ,CO,81435,(970) 728-4289,"333 WEST COLORADO AVE. , TELLURIDE , CO, 81435",37.9380475,-107.8131748,"<a href=""https://maps.google.com/?q=37.9380475,-107.8131748"">333 WEST COLORADO AVE. , TELLURIDE , CO, 81435</a>."
A Second Glance,Local,811 Sidney Ave.,,Sterling,CO,80751,,"811 Sidney Ave., Sterling, CO, 80751",40.6334999,-103.2024021,"<a href=""https://maps.google.com/?q=40.6334999,-103.2024021"">811 Sidney Ave., Sterling, CO, 80751</a>."
A Selah Hair and Wig Salon,Local,"7275 W. 88th Ave, Ste.102",,Westminster,CO,80021,303-919-0679,"7275 W. 88th Ave, Ste.102, Westminster, CO, 80021",39.858421,-105.078917,"<a href=""https://maps.google.com/?q=39.858421,-105.078917"">7275 W. 88th Ave, Ste.102, Westminster, CO, 80021</a>."
A Wellness Haven,Local,"126 W. ""D"" St.",,Pueblo,CO,81003,719-544-0756,"126 W. ""D"" St., Pueblo, CO, 81003",38.2641049,-104.6130577,"<a href=""https://maps.google.com/?q=38.2641049,-104.6130577"">126 W. ""D"" St., Pueblo, CO, 81003</a>."
ABERDEEN SURGERY CENTER,,650  DITTMER AVENUE,,PUEBLO,CO,81005,(719) 565-2000,"650  DITTMER AVENUE, PUEBLO, CO, 81005",38.2641832,-104.6506292,"<a href=""https://maps.google.com/?q=38.2641832,-104.6506292"">650  DITTMER AVENUE, PUEBLO, CO, 81005</a>."
ABODE HOSPICE OF COLORADO,,445 UNION BLVD,STE 223,LAKEWOOD,CO,80228,(720) 353-4078,"445 UNION BLVD, STE 223, LAKEWOOD, CO, 80228",39.7234371,-105.1328851,"<a href=""https://maps.google.com/?q=39.7234371,-105.1328851"">445 UNION BLVD, STE 223, LAKEWOOD, CO, 80228</a>."
ABODE HOSPICE OF COLORADO,,5465 MARK DABLING BLVD,,COLORADO SPRINGS,CO,80918,(719) 358-6428,"5465 MARK DABLING BLVD, COLORADO SPRINGS, CO, 80918",38.9108215,-104.8204276,"<a href=""https://maps.google.com/?q=38.9108215,-104.8204276"">5465 MARK DABLING BLVD, COLORADO SPRINGS, CO, 80918</a>."
ABODE HOSPICE OF COLORADO,,744 HORIZON CT,STE 135,GRAND JUNCTION,CO,81506,(970) 658-8705,"744 HORIZON CT, STE 135, GRAND JUNCTION, CO, 81506",39.113284,-108.533392,"<a href=""https://maps.google.com/?q=39.113284,-108.533392"">744 HORIZON CT, STE 135, GRAND JUNCTION, CO, 81506</a>."
ABRAHAM LINCOLN HIGH SCHOOL - SCHOOL-BASED HEALTH CENTER,,2285 SOUTH FEDERAL BOULEVARD,,DENVER,CO,80219,(720) 423-5020,"2285 SOUTH FEDERAL BOULEVARD, DENVER, CO, 80219",39.6760166,-105.0266108,"<a href=""https://maps.google.com/?q=39.6760166,-105.0266108"">2285 SOUTH FEDERAL BOULEVARD, DENVER, CO, 80219</a>."
ACCENTCARE HOME HEALTH OF MOUNTAIN VALLEY LLC,,455 Sherman Street,STE 465,Denver ,CO,80203,(303) 620-5402,"455 Sherman Street, STE 465, Denver , CO, 80203",39.7233232,-104.9853591,"<a href=""https://maps.google.com/?q=39.7233232,-104.9853591"">455 Sherman Street, STE 465, Denver , CO, 80203</a>."
ACCENTCARE HOSPICE,,9191 SHERIDAN BLVD,STE 103,WESTMINSTER,CO,80031,(720) 504-1309,"9191 SHERIDAN BLVD, STE 103, WESTMINSTER, CO, 80031",39.8629626,-105.0537433,"<a href=""https://maps.google.com/?q=39.8629626,-105.0537433"">9191 SHERIDAN BLVD, STE 103, WESTMINSTER, CO, 80031</a>."
Accessories with a Flair!...and Hair,Local,"801 8th Ave., #4.",,Greeley,CO,80631,970-351-6448,"801 8th Ave., #4., Greeley, CO, 80631",40.424584,-104.6910186,"<a href=""https://maps.google.com/?q=40.424584,-104.6910186"">801 8th Ave., #4., Greeley, CO, 80631</a>."
Acu-Choice Health Care,Local,3470 S. Sherman St. #1,,Englewood,CO,80113,303-794-9505,"3470 S. Sherman St. #1, Englewood, CO, 80113",39.6537347,-104.9848538,"<a href=""https://maps.google.com/?q=39.6537347,-104.9848538"">3470 S. Sherman St. #1, Englewood, CO, 80113</a>."
ADAMS CITY HIGH SCHOOL,,7200 QUEBEC PARKWAY,,COMMERCE CITY,CO,80022,(303) 405-3050,"7200 QUEBEC PARKWAY, COMMERCE CITY, CO, 80022",39.8283905,-104.900549,"<a href=""https://maps.google.com/?q=39.8283905,-104.900549"">7200 QUEBEC PARKWAY, COMMERCE CITY, CO, 80022</a>."
ADVANCED DERMATOLOGY AND COSMETIC SURGERY -WESTMINSTER,,10359 N FEDERAL BOULEVARD,STE 210,WESTMINSTER,CO,80260,(303) 426-4525,"10359 N FEDERAL BOULEVARD, STE 210, WESTMINSTER, CO, 80260",39.8845714,-105.0276747,"<a href=""https://maps.google.com/?q=39.8845714,-105.0276747"">10359 N FEDERAL BOULEVARD, STE 210, WESTMINSTER, CO, 80260</a>."
ADVANCED HOSPICE OF COLORADO,,1800  S POTOMAC ST,,AURORA,CO,80012,(720) 213-1773,"1800  S POTOMAC ST, AURORA, CO, 80012",39.6838777,-104.8305959,"<a href=""https://maps.google.com/?q=39.6838777,-104.8305959"">1800  S POTOMAC ST, AURORA, CO, 80012</a>."
AKRON CLINIC,,82 MAIN STREET,,AKRON,CO,80720,(970) 345-6336,"82 MAIN STREET, AKRON, CO, 80720",40.1605373,-103.2143843,"<a href=""https://maps.google.com/?q=40.1605373,-103.2143843"">82 MAIN STREET, AKRON, CO, 80720</a>."
ALAMOSA DENTAL CLINIC,,128 MARKET STREET,,ALAMOSA,CO,81101,(719) 589-9691,"128 MARKET STREET, ALAMOSA, CO, 81101",37.4746957,-105.8904106,"<a href=""https://maps.google.com/?q=37.4746957,-105.8904106"">128 MARKET STREET, ALAMOSA, CO, 81101</a>."
