zip,lat,long
80013,39.6563415,-104.7637619
80219,39.6961606,-105.0382076
80015,39.6288155,-104.7812654
80134,39.4626087,-104.7754307
80634,40.3962637,-104.7871004
80016,39.5815071,-104.7170954
80525,40.5417839,-105.044052
80631,40.4398216,-104.6821048
80229,39.8580556,-104.9564084
80504,40.1572572,-105.0089888
80012,39.7020217,-104.8396248
80011,39.7542465,-104.7871004
80022,39.866593,-104.7754307
80020,39.9389199,-105.0674317
80233,39.8998278,-104.9447261
80538,40.4853645,-105.2428853
80918,38.9043608,-104.7637619
80239,39.8086537,-104.8337879
80123,39.6166037,-105.0674317
80526,40.5293254,-105.1375908
80127,39.5350229,-105.1492869
80537,40.372134,-105.1960795
80126,39.5511448,-104.9505671
80010,39.7393313,-104.8629746
80401,39.7158773,-105.2311827
80221,39.8042947,-105.0206757
80501,40.1733277,-105.1142011
80916,38.8021891,-104.7229279
80601,39.9726732,-104.8104424
80920,38.9583005,-104.7812654
80014,39.6631609,-104.8279512
80909,38.8560908,-104.7812654
80017,39.6937087,-104.7871004
80906,38.7665005,-104.8804893
80210,39.6751269,-104.9680914
80231,39.665649,-104.8863279
80521,40.5889664,-105.1375908
80004,39.8163023,-105.1200482
80524,40.6358803,-105.0089888
80220,39.7316982,-104.9213643
80003,39.8182494,-105.0674317
80128,39.5761957,-105.0674317
80602,39.9689905,-104.9155243
80911,38.7640957,-104.7404269
80031,39.8774533,-105.0382076
80211,39.7698122,-105.0148322
80503,40.1724007,-105.1960795
80205,39.7558119,-104.9680914
80227,39.6682515,-105.096661
80260,39.8619647,-105.0031457
80228,39.6849237,-105.1609838
80021,39.892517,-105.1142011
80112,39.5835785,-104.8571368
80027,39.9434473,-105.1843801
80204,39.7380371,-105.0265195
80241,39.9311729,-104.9739333
80226,39.7101457,-105.0849687
80138,39.5267931,-104.670443
80111,39.6166715,-104.8746508
80122,39.5756558,-104.9564084
80249,39.8786639,-104.6821048
81005,38.1700879,-104.798771
80120,39.5897283,-105.0031457
81007,38.3588522,-104.7754307
80104,39.2942344,-104.8221147
80910,38.8064287,-104.7695962
80129,39.5477566,-105.0148322
80917,38.8825531,-104.7345937
81212,38.5558236,-105.3131185
81301,37.4951422,-107.811
80026,39.9960635,-105.0908147
80817,38.6587767,-104.6821048
80550,40.4891031,-104.9155243
81001,38.3060189,-104.5422225
80922,38.8870447,-104.6995991
81504,39.0907963,-108.4869555
80907,38.8778926,-104.8104424
80302,40.038629,-105.3716684
80130,39.5397979,-104.9213643
80005,39.854992,-105.1317431
80516,40.0369992,-105.0089888
80234,39.9122468,-105.0031457
80919,38.9301358,-104.8804893
80214,39.7376702,-105.0674317
80207,39.7619439,-104.9213643
81004,38.040147,-104.6821048
80304,40.0454736,-105.2838511
80033,39.7775841,-105.1083542
80301,40.0406506,-105.2077798
80831,38.9458493,-104.5189214
80209,39.7069307,-104.9564084
80303,40.0005378,-105.2077798
80206,39.7271021,-104.9564084
80439,39.6184866,-105.4302383
80921,39.0317375,-104.9622498
81501,39.075059,-108.5522531
80222,39.6696322,-104.9330448
80110,39.6487896,-105.0148322
80232,39.6884271,-105.096661
80528,40.4882728,-104.9973028
81401,38.4948194,-107.71625
80237,39.6439276,-104.8980058
80238,39.7781333,-104.8746508
80915,38.8563576,-104.6995991
80203,39.7312095,-104.9826965
80132,39.0994223,-104.8337879
80124,39.5327347,-104.8980058
80403,39.8325847,-105.336536
80904,38.8644663,-104.8746508
80223,39.7007844,-105.0031457
80620,40.3711825,-104.7112631
80212,39.7752563,-105.0498966
80215,39.747363,-105.1083542
80218,39.732746,-104.9710123
80236,39.6478446,-105.0411298
80121,39.6117926,-104.9505671
80224,39.6928764,-104.9096846
